"","...1","i","df_name","k","df_name_specific","Time","CalendarURL","Location"
"77",77,17,"Carrer d'Apel·les Fenosa",5,"Carrer d'Apel·les Fenosa 5","Martes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/70098400005000050","Delante de casa"
"78",78,18,"Carrer d'Apel·les Mestres",1,"Carrer d'Apel·les Mestres 9","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/10050400009000090","Delante de casa"
"79",79,18,"Carrer d'Apel·les Mestres",5,"Carrer d'Apel·les Mestres 15","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/10050400015000150","Delante de casa"
"80",80,18,"Carrer d'Apel·les Mestres",10,"Carrer d'Apel·les Mestres 25","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/10050400025000250","Delante de casa"
"81",81,19,"Carrer de Pons i Serra",1,"Carrer de Pons i Serra 1 - 3","Martes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/26230200001000030","Delante de casa"
"82",82,19,"Carrer de Pons i Serra",5,"Carrer de Pons i Serra 6","Martes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/26230200006000060","Delante de casa"
"83",83,20,"Carretera Alta de les Roquetes",1,"Carretera Alta de les Roquetes 34","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/01230500034000340","Delante de casa"
"84",84,20,"Carretera Alta de les Roquetes",5,"Carretera Alta de les Roquetes 40","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/01230500040000400","Delante de casa"
"85",85,20,"Carretera Alta de les Roquetes",10,"Carretera Alta de les Roquetes 49 - 51","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/01230500049000510","Delante de casa"
"86",86,20,"Carretera Alta de les Roquetes",15,"Carretera Alta de les Roquetes 54B","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/01230500054B0054B","Delante de casa"
"87",87,20,"Carretera Alta de les Roquetes",20,"Carretera Alta de les Roquetes 62","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/01230500062000620","Delante de casa"
"88",88,20,"Carretera Alta de les Roquetes",25,"Carretera Alta de les Roquetes 70","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/01230500070000700","Delante de casa"
"89",89,21,"Passatge de Paca Soler",1,"Passatge de Paca Soler 1","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/23820600001000010","Delante de casa"
"90",90,21,"Passatge de Paca Soler",5,"Passatge de Paca Soler 8","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/23820600008000080","Delante de casa"
"91",91,21,"Passatge de Paca Soler",10,"Passatge de Paca Soler 18","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/23820600018000180","Delante de casa"
"92",92,22,"Carrer de Bernat Desclot",1,"Carrer de Bernat Desclot 8","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/04100800008000080","Delante de casa"
"93",93,22,"Carrer de Bernat Desclot",5,"Carrer de Bernat Desclot 13X","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/04100800013X0013X","Delante de casa"
"94",94,22,"Carrer de Bernat Desclot",10,"Carrer de Bernat Desclot 18","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/04100800018000180","Delante de casa"
"95",95,22,"Carrer de Bernat Desclot",15,"Carrer de Bernat Desclot 23","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/04100800023000230","Delante de casa"
"96",96,22,"Carrer de Bernat Desclot",20,"Carrer de Bernat Desclot 28","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/04100800028000280","Delante de casa"
"97",97,22,"Carrer de Bernat Desclot",25,"Carrer de Bernat Desclot 33","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/04100800033000330","Delante de casa"
"98",98,23,"Carrer de Ramon Albó",1,"Carrer de Ramon Albó 1","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/27450500001000010","Delante de casa"
"99",99,23,"Carrer de Ramon Albó",5,"Carrer de Ramon Albó 4","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/27450500004000040","Delante de casa"
"100",100,23,"Carrer de Ramon Albó",10,"Carrer de Ramon Albó 10","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/27450500010000100","Delante de casa"
"101",101,23,"Carrer de Ramon Albó",15,"Carrer de Ramon Albó 16","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/27450500016000160","Delante de casa"
"102",102,23,"Carrer de Ramon Albó",20,"Carrer de Ramon Albó 22","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/27450500022000220","Delante de casa"
"103",103,23,"Carrer de Ramon Albó",25,"Carrer de Ramon Albó 30","Jueves, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/27450500030000300","Delante de casa"
"104",104,24,"Carrer del Foc Follet",1,"Carrer del Foc Follet 1","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12820800001000010","Delante de casa"
"105",105,24,"Carrer del Foc Follet",5,"Carrer del Foc Follet 4","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12820800004000040","Delante de casa"
"106",106,24,"Carrer del Foc Follet",10,"Carrer del Foc Follet 9","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12820800009000090","Delante de casa"
"107",107,24,"Carrer del Foc Follet",15,"Carrer del Foc Follet 14 - 16","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12820800014000160","Delante de casa"
"108",108,24,"Carrer del Foc Follet",20,"Carrer del Foc Follet 21","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12820800021000210","Delante de casa"
"109",109,24,"Carrer del Foc Follet",25,"Carrer del Foc Follet 27 - 29","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12820800027000290","Delante de casa"
"110",110,25,"Passatge del Patriarca",1,"Passatge del Patriarca 1","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/24750200001000010","Delante de casa"
"111",111,25,"Passatge del Patriarca",5,"Passatge del Patriarca 5","Miércoles, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/24750200005000050","Delante de casa"
"112",112,26,"Plaça del Raspall",1,"Plaça del Raspall 1","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/31610600001000010","Delante de casa"
